F S   UID     PID    PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
4 S     0     682       1  0  80   0 - 59459 -      ?        00:00:00 switcheroo-cont
4 S     0     683       1  0  80   0 - 12235 -      ?        00:01:45 systemd-logind
4 S     0     685       1  0  80   0 - 32468 -      ?        00:03:56 thermald
4 S     0     690       1  0  80   0 - 98294 -      ?        00:00:05 udisksd
4 S     0     692       1  0  80   0 -  4488 -      ?        00:00:32 wpa_supplicant
1 S   115     701     640  0  80   0 -  1873 -      ?        00:00:00 avahi-daemon
4 S     0     732       1  0  80   0 - 79252 -      ?        00:00:00 ModemManager
4 S     0     985       1  1  80   0 - 84169 -      ?        14:06:03 NetworkManager
4 S     0    1037       1  0  80   0 - 55357 -      ?        00:05:04 php-fpm7.4
4 S     0    1043       1  0  80   0 - 29865 -      ?        00:00:00 unattended-upgr
4 S     0    1047       1  0  80   0 -  3855 -      ?        00:05:30 sshd
4 S   121    1057       1  0  80   0 - 62232 -      ?        00:00:06 colord
5 S     0    1074       1  0  80   0 - 13799 -      ?        00:00:00 nginx
5 S    33    1078    1074  0  80   0 - 14053 -      ?        00:00:00 nginx
5 S    33    1079    1074  0  80   0 - 14053 -      ?        00:00:00 nginx
5 S    33    1080    1074  0  80   0 - 13967 -      ?        00:00:00 nginx
5 S    33    1081    1074  0  80   0 - 14083 -      ?        00:00:12 nginx
5 S    33    1082    1074  0  80   0 - 13967 -      ?        00:00:00 nginx
5 S    33    1084    1074  0  80   0 - 13967 -      ?        00:00:00 nginx
5 S    33    1085    1074  0  80   0 - 13967 -      ?        00:00:00 nginx
5 S    33    1086    1074  0  80   0 - 13967 -      ?        00:00:00 nginx
4 S   129    1103       1  0  80   0 - 531200 -     ?        00:21:06 mariadbd
5 S    33    1104    1037  0  80   0 - 76409 -      ?        00:02:52 php-fpm7.4
5 S    33    1105    1037  0  80   0 - 76406 -      ?        00:02:49 php-fpm7.4
1 S   116    1278       1  0  80   0 -  3270 -      ?        00:00:05 kerneloops
1 S   116    1286       1  0  80   0 -  3270 -      ?        00:00:05 kerneloops
4 S     0    1322       1  0  80   0 - 60666 -      ?        00:00:00 gdm3
4 S  1000    1343       1  0  80   0 -  4514 ep_pol ?        00:00:05 systemd
5 S  1000    1348    1343  0  80   0 - 42487 -      ?        00:00:00 (sd-pam)
0 S  1000    1355    1343  0  69 -11 - 10220 ep_pol ?        00:00:00 pipewire
0 S  1000    1356    1343  0  80   0 -  6193 ep_pol ?        00:01:16 pipewire-media-
4 S   111    1371       1  0  81   1 - 38500 -      ?        00:01:10 rtkit-daemon
4 S     0    1571       1  0  80   0 - 60878 -      ?        00:00:00 upowerd
5 S     0    1585       2  0  70 -10 -     0 -      ?        00:00:00 krfcommd
4 S     0    2908       1  0  80   0 - 112012 -     ?        01:46:01 packagekitd
4 S     0    3816       1  0  80   0 - 426998 -     ?        00:24:34 containerd
4 S     0    3989       1  0  80   0 - 474752 -     ?        00:32:59 dockerd
1 S  1000   17769       1  0  80   0 -  3633 do_pol ?        00:11:52 tmux: server
0 S  1000   17770   17769  0  80   0 -  3184 do_sel pts/1    00:00:00 bash
0 S  1000   17783   17769  0  80   0 -  3184 do_sel pts/2    00:00:00 bash
0 S  1000   17818   17769  0  80   0 -  3184 do_sel pts/3    00:00:00 bash
